iter	RMSE
245	57087.22103
246	56825.39991
247	56489.48414
248	56439.98781
249	56374.99567
250	56266.2134
251	55987.09205
252	55831.37054
253	55590.78876
254	55528.64221
255	55292.1892
256	55204.98646
257	54880.08637
258	54658.63974
259	54473.69903
260	54418.69777
261	54239.54643
262	53994.34906
263	53881.77665
264	53688.99162
265	53370.42215
266	53228.0762
267	53153.08999
268	53013.57207
269	52977.92917
270	52767.5674
271	52460.53781
272	52352.22697
273	52103.18429
274	51815.67263
275	51768.53727
276	51718.64103
277	51658.97
278	51454.73085
279	51384.57222
280	51268.05892
281	51094.63212
282	50896.70047
283	50754.80954
284	50494.81548
285	50229.07397
286	50186.93123
287	50058.38547
288	49822.47372
289	49627.76124
290	49581.92361
291	49475.50945
292	49419.12655
293	49377.10965
294	49183.58004
295	48983.74714
296	48797.70308
297	48553.39508
298	48524.52273
299	48321.65611
300	48247.03341
301	48124.45016
302	48020.62441
303	47932.26791
304	47714.51003
305	47477.74109
306	47424.83016
307	47201.12394
308	46909.16867
309	46718.39
310	46445.75054
311	46282.58322
312	45972.07457
313	45877.89209
314	45710.11019
315	45553.32186
316	45441.87153
317	45255.45985
318	45225.50154
319	45042.43619
320	44825.66997
321	44677.05188
322	44526.09188
323	44311.74688
324	44061.16114
325	43901.40521
326	43706.77733
327	43518.40395
328	43308.01238
329	43248.5503
330	43156.11759
331	42983.9943
332	42826.33518
333	42577.26541
334	42415.50602
335	42190.9277
336	42144.93433
337	42020.52604
338	41833.37073
339	41669.86019
340	41497.18204
341	41475.50473
342	41365.8684
343	41337.33431
344	41164.72648
345	40940.29951
346	40759.53169
347	40618.11193
348	40455.70274
349	40344.45691
350	40322.229
351	40173.78535
352	40106.75793
353	40070.81955
354	40027.36348
355	39912.72633
356	39865.17402
357	39785.17144
358	39651.46989
359	39613.78485
360	39463.92182
361	39189.08656
362	39083.4902
363	39044.77934
364	38896.51736
365	38675.8021
366	38630.87849
367	38506.1993
368	38309.20811
369	38142.36689
370	38012.28771
371	37794.47987
372	37729.46883
373	37538.57471
374	37400.10008
375	37259.71311
376	37223.04041
377	37118.19238
378	37074.52557
379	37009.23546
380	36858.54108
381	36714.28826
382	36496.69166
383	36342.50781
384	36187.4248
385	36020.86547
386	35834.533
387	35643.38938
388	35507.64183
389	35401.76623
390	35235.46277
391	35157.77117
392	34940.10913
393	34782.63178
394	34658.21834
395	34630.10792
396	34500.65426
397	34353.1657
398	34236.28605
399	34062.33429
400	33953.78574
401	33883.46619
402	33707.05282
403	33582.73908
404	33506.09485
405	33414.47795
406	33343.911
407	33215.96126
408	33081.67535
409	32965.422
410	32792.8381
411	32685.94776
412	32627.18312
413	32437.3539
414	32318.73861
415	32197.33847
416	32080.63056
417	31940.33457
418	31892.6248
419	31774.98474
420	31671.73092
421	31606.54025
422	31458.65477
423	31422.08543
424	31272.51051
425	31122.85884
426	31094.52836
427	30978.74176
428	30858.92751
429	30712.29194
430	30666.00185
431	30584.89131
432	30477.50848
433	30382.55379
434	30249.8957
435	30176.42489
436	30059.04328
437	30008.07658
438	29844.25516
439	29713.47141
440	29673.56056
441	29531.72997
442	29409.0996
443	29304.02964
444	29146.33181
445	29058.54475
446	28891.74188
447	28788.75283
448	28659.51819
449	28529.20467
450	28504.94722
451	28390.17062
452	28303.1486
453	28196.42297
454	28094.37177
455	27939.83404
456	27879.69639
457	27764.75032
458	27642.69644
459	27579.75176
460	27455.71894
461	27325.52803
462	27220.76763
463	27135.98076
464	27007.78552
465	26956.23399
466	26918.56763
467	26860.4613
468	26768.24697
469	26687.31481
470	26602.69743
471	26515.40364
472	26434.28369
473	26276.65843
474	26188.2907
475	26095.27923
476	25962.30651
477	25897.21716
478	25803.64305
479	25696.02619
480	25587.39199
481	25467.79073
482	25383.53537
483	25316.40502
484	25161.89826
485	25118.42151
486	25082.57809
487	24955.18104
488	24824.70624
489	24721.04105
490	24645.17126
491	24583.65753
492	24481.29036
493	24438.84134
494	24339.59359
495	24271.9134
496	24179.90405
497	24077.61276
498	23982.68048
499	23885.20791
500	23837.19259
501	23796.34559
502	23763.32293
503	23665.90647
504	23573.37311
505	23531.25059
506	23446.10144
507	23361.55509
508	23261.4903
509	23103.3283
510	23014.36057
511	22938.54733
512	22825.34923
513	22776.34144
514	22650.12452
515	22556.9406
516	22496.02919
517	22380.18898
518	22291.4734
519	22265.91641
520	22227.54659
521	22147.23438
522	22055.34956
523	21980.79234
524	21924.41657
525	21852.47156
526	21803.45861
527	21713.95196
528	21623.8158
529	21599.42459
530	21555.36803
531	21501.05051
532	21438.49604
533	21328.60947
534	21295.76876
535	21161.78758
536	21107.83141
537	20982.08987
538	20922.86215
539	20841.75665
540	20767.91156
541	20744.80429
542	20685.59714
543	20608.12657
544	20515.43588
545	20491.96186
546	20394.4587
547	20356.70357
548	20333.73118
549	20285.2762
550	20213.72816
551	20131.09091
552	20092.94581
553	20054.02875
554	20016.27646
555	19917.03388
556	19891.64071
557	19870.88155
558	19761.64387
559	19712.35885
560	19599.86355
561	19486.67319
562	19403.42448
563	19320.72281
564	19234.82118
565	19178.92458
566	19080.80671
567	19020.80807
568	18997.98128
569	18913.25774
570	18859.79061
571	18828.19092
572	18774.18195
573	18723.42554
574	18704.51232
575	18677.40432
576	18618.42502
577	18561.02013
578	18471.69937
579	18442.91663
580	18335.73334
581	18284.2387
582	18255.61299
583	18156.13132
584	18098.60537
585	18044.8614
586	17974.70366
587	17883.3923
588	17824.85311
589	17793.76488
590	17758.03543
591	17686.13639
592	17614.63008
593	17568.85842
594	17543.08178
595	17466.37586
596	17439.98252
597	17356.69705
598	17268.55553
599	17177.09933
600	17151.01459
601	17128.74881
602	17075.9108
603	17021.19759
604	16946.91602
605	16859.98314
606	16802.60371
607	16743.30271
608	16643.81443
609	16589.81088
610	16497.47564
611	16432.57555
612	16373.68848
613	16299.00362
614	16248.97801
615	16190.93549
616	16149.70676
617	16102.91595
618	16067.40166
619	15995.35417
620	15943.06099
621	15900.17129
622	15886.35143
623	15810.24759
624	15782.41222
625	15735.03372
626	15699.67279
627	15658.32782
628	15634.47043
629	15589.71412
630	15547.18181
631	15502.54763
632	15459.69307
633	15421.43175
634	15378.7579
635	15302.40036
636	15255.34485
637	15220.45207
638	15148.22959
639	15095.02272
640	15060.64066
641	15013.95981
642	14982.87436
643	14912.43802
644	14867.50716
645	14815.76776
646	14778.23422
647	14716.92982
648	14681.48983
649	14608.39766
650	14546.03414
651	14532.87621
652	14502.999
653	14479.84191
654	14414.37487
655	14376.87105
656	14309.57493
657	14255.93751
658	14215.69096
659	14151.30538
660	14122.1193
661	14080.82263
662	14017.41165
663	13980.35807
664	13954.15994
665	13924.75343
666	13865.48648
667	13813.17359
668	13771.05061
669	13735.53509
670	13724.82591
671	13711.52567
672	13676.1558
673	13623.3249
674	13609.29256
675	13570.98613
676	13525.46628
677	13475.70933
678	13440.33851
679	13391.11671
680	13347.53812
681	13307.52889
682	13285.59981
683	13235.60919
684	13193.416
685	13162.02809
686	13114.35694
687	13083.08379
688	13031.53919
689	12990.05358
690	12976.27138
691	12906.33361
692	12884.31799
693	12835.38943
694	12813.07137
695	12761.96704
696	12697.75381
697	12653.50201
698	12616.98854
699	12582.01904
